;PARAM;Uncertainty
1;NA;
2;% C;
3;% N;
4;2,2-Bisf.-F;
5;4-T-NP;30
6;4-T-OP;30
7;4,2-Bisf.-F;
8;4,4-Bisf.-F;
9;AG;20
10;AS;20
11;BDE100;30
12;BDE119;30
13;BDE126;30
14;BDE138;30
15;BDE153;30
16;BDE154;30
17;BDE156;30
18;BDE17;30
19;BDE183;30
20;BDE184;30
21;BDE191;30
22;BDE196;30
23;BDE197;30
24;BDE202;30
25;BDE206;30
26;BDE207;30
27;BDE209;45
28;BDE28;30
29;BDE47;30
30;BDE49;30
31;BDE66;30
32;BDE71;30
33;BDE77;30
34;BDE85;30
35;BDE99;30
36;BPA;30
37;C/N;
38;CB101;25
39;CB105;25
40;CB114;25
41;CB118;25
42;CB122;25
43;CB123;25
44;CB128;25
45;CB138;25
46;CB141;25
47;CB149;25
48;CB153;25
49;CB156;25
50;CB157;25
51;CB167;25
52;CB170;25
53;CB18;25
54;CB180;25
55;CB183;25
56;CB187;25
57;CB189;25
58;CB194;25
59;CB206;25
60;CB209;25
61;CB28;25
62;CB31;25
63;CB33;25
64;CB37;25
65;CB47;25
66;CB52;25
67;CB66;25
68;CB74;25
69;CB99;25
70;CD;20
71;CO;20
72;CR;20
73;CU;20
74;Delta13C;
75;Delta15N;
76;Dodekylphenol;
77;Fett;10
78;HBCDA;40
79;HBCDB;40
80;HBCDG;40
81;HCB;
82;HG;25
83;MCCP;50
84;NI;20
85;PB;20
86;PeCB;
87;PFBS;
88;PFDcA;
89;PFHpA;
90;PFHxA;
91;PFHxS;
92;PFNA;
93;PFOA;
94;PFOS;
95;PFOSA;
96;PFUdA;
97;Sample;
98;SCCP;50
99;SN;30
100;Sum-HepCB;25
101;Sum-HexCB;25
102;Sum-PenCB;25
103;Sum-TetCB;25
104;Sum-TriCB;25
105;Sum 7 PCB;25
106;TBA;
107;TBBPA;30
108;ZN;20
